Epoch,Train(with pretraining),Test(with pretraining),Train(w/o pretraining),Test(w/o pretraining)
1,0.7347592441012136,0.7356583629893239,0.7250435958575039,0.7316725978647687
2,0.7387807395280971,0.7407829181494662,0.7318409907825901,0.6928113879003558
3,0.7403110430976192,0.7412099644128114,0.734189828819531,0.7268327402135231
4,0.7429445887754013,0.7436298932384341,0.7346524787358981,0.7232740213523131
5,0.7454001921776576,0.7450533807829182,0.7349015979216342,0.7003558718861209
6,0.7722694757820564,0.7977224199288256,0.7349371863767394,0.7269750889679715
7,0.8004555322253462,0.7980071174377223,0.7350083632869497,0.7299644128113879
8,0.8154738602797253,0.8068327402135231,0.735043951742055,0.7070462633451957
9,0.821701839923129,0.8126690391459075,0.7349015979216342,0.7155871886120996
10,0.8270401081889036,0.8156583629893238,0.7349727748318446,0.7219928825622776
11,0.8346204491263035,0.8233451957295373,0.7349015979216342,0.7249822064056939
12,0.8397807751165522,0.8234875444839858,0.735043951742055,0.7217081850533807
13,0.8436599167230151,0.8236298932384342,0.735043951742055,0.7248398576512455
14,0.8475034698743729,0.821779359430605,0.735043951742055,0.7180071174377224
15,0.8529485035054629,0.8172241992882562,0.7351151286522652,0.7279715302491103
16,0.8570411758425567,0.8227758007117437,0.73507954019716,0.7171530249110319
17,0.8619167941919642,0.8202135231316726,0.7349015979216342,0.7128825622775801
18,0.8641944553186947,0.8190747330960854,0.73507954019716,0.7286832740213522
19,0.8686430122068401,0.8222064056939501,0.7351151286522652,0.7318149466192171
20,0.8702444926865726,0.819644128113879,0.73507954019716,0.7261209964412811
