Epoch,ReLU_train,ReLU_test,LeakyReLU_train,LeakyReLU_test,ELU_train,ELU_test
1,53.611111111111114,57.77777777777778,49.25925925925926,49.44444444444444,49.72222222222222,51.666666666666664
2,58.7962962962963,57.68518518518518,48.51851851851852,51.01851851851852,56.94444444444444,59.351851851851855
3,58.7962962962963,56.48148148148148,52.870370370370374,50.55555555555556,61.48148148148148,65.37037037037037
4,56.94444444444444,54.907407407407405,51.851851851851855,53.98148148148148,64.53703703703704,68.14814814814815
5,58.333333333333336,60.370370370370374,59.72222222222222,59.907407407407405,65.64814814814815,68.33333333333333
6,59.907407407407405,58.611111111111114,60.18518518518518,57.31481481481482,66.11111111111111,63.425925925925924
7,59.907407407407405,57.31481481481482,56.851851851851855,58.611111111111114,65.55555555555556,69.07407407407408
8,61.111111111111114,59.25925925925926,61.75925925925926,63.7962962962963,69.35185185185185,64.53703703703704
9,65.37037037037037,64.35185185185185,63.333333333333336,67.5925925925926,67.5,72.03703703703704
10,63.888888888888886,65.27777777777777,66.94444444444444,67.96296296296296,70.27777777777777,67.77777777777777
11,67.31481481481481,67.31481481481481,67.77777777777777,68.51851851851852,68.70370370370371,70.55555555555556
12,69.07407407407408,67.31481481481481,68.33333333333333,67.22222222222223,68.42592592592592,68.14814814814815
13,67.68518518518519,67.22222222222223,68.14814814814815,71.01851851851852,70.74074074074075,74.07407407407408
14,69.44444444444444,66.94444444444444,70.37037037037037,70.83333333333333,70.64814814814815,67.87037037037037
15,71.48148148148148,70.37037037037037,70.0925925925926,71.94444444444444,72.77777777777777,71.01851851851852
16,70.64814814814815,71.11111111111111,72.31481481481481,74.16666666666667,70.83333333333333,72.5
17,70.83333333333333,70.74074074074075,71.85185185185185,72.77777777777777,70.46296296296296,73.24074074074075
18,72.87037037037037,70.0,73.79629629629629,75.0925925925926,70.92592592592592,72.22222222222223
19,70.83333333333333,69.53703703703704,72.68518518518519,74.53703703703704,71.29629629629629,71.48148148148148
20,72.22222222222223,72.22222222222223,75.27777777777777,76.01851851851852,72.22222222222223,72.4074074074074
21,72.5,73.05555555555556,75.83333333333333,76.01851851851852,75.64814814814815,76.11111111111111
22,74.16666666666667,71.94444444444444,76.11111111111111,75.46296296296296,74.9074074074074,76.01851851851852
23,73.98148148148148,74.16666666666667,76.20370370370371,78.05555555555556,74.72222222222223,70.37037037037037
24,73.14814814814815,73.88888888888889,75.83333333333333,76.85185185185185,73.88888888888889,74.35185185185185
