Epoch,ReLU_train,ReLU_test,LeakyReLU_train,LeakyReLU_test,ELU_train,ELU_test
1,56.388888888888886,64.44444444444444,51.851851851851855,57.407407407407405,57.77777777777778,67.87037037037037
2,64.72222222222223,69.44444444444444,62.5,68.88888888888889,70.0,69.25925925925925
3,69.62962962962963,71.11111111111111,69.62962962962963,68.79629629629629,72.77777777777777,70.18518518518519
4,72.5925925925926,71.01851851851852,72.87037037037037,70.55555555555556,74.9074074074074,70.64814814814815
5,74.25925925925925,71.66666666666667,73.51851851851852,70.92592592592592,75.83333333333333,70.55555555555556
6,73.51851851851852,71.38888888888889,73.79629629629629,72.22222222222223,75.0925925925926,70.27777777777777
7,74.16666666666667,70.74074074074075,74.44444444444444,72.22222222222223,75.83333333333333,70.27777777777777
8,75.27777777777777,71.48148148148148,75.0925925925926,71.38888888888889,75.27777777777777,70.37037037037037
9,76.29629629629629,72.96296296296296,75.64814814814815,71.29629629629629,77.03703703703704,70.74074074074075
10,77.5925925925926,73.88888888888889,76.85185185185185,71.38888888888889,76.48148148148148,70.92592592592592
11,78.42592592592592,72.4074074074074,77.87037037037037,71.57407407407408,77.12962962962963,71.29629629629629
12,78.61111111111111,72.96296296296296,77.5925925925926,71.57407407407408,77.77777777777777,71.38888888888889
13,77.12962962962963,73.51851851851852,78.24074074074075,72.03703703703704,76.75925925925925,71.75925925925925
14,78.51851851851852,73.70370370370371,78.51851851851852,72.96296296296296,77.68518518518519,71.75925925925925
15,78.61111111111111,73.70370370370371,77.87037037037037,73.98148148148148,77.5925925925926,71.29629629629629
16,79.62962962962963,73.98148148148148,77.4074074074074,73.14814814814815,79.44444444444444,71.57407407407408
17,79.53703703703704,73.79629629629629,79.16666666666667,73.33333333333333,77.5925925925926,71.75925925925925
18,80.18518518518519,74.44444444444444,78.70370370370371,73.42592592592592,79.25925925925925,71.57407407407408
19,80.74074074074075,74.07407407407408,80.37037037037037,72.5,78.70370370370371,72.31481481481481
20,80.64814814814815,74.53703703703704,80.0925925925926,73.51851851851852,79.72222222222223,71.94444444444444
21,81.85185185185185,75.0,80.55555555555556,73.70370370370371,78.33333333333333,72.12962962962963
22,81.94444444444444,74.81481481481481,80.46296296296296,74.25925925925925,77.68518518518519,71.57407407407408
23,81.94444444444444,75.18518518518519,81.66666666666667,74.44444444444444,80.0925925925926,72.4074074074074
24,82.4074074074074,76.29629629629629,82.68518518518519,74.9074074074074,80.74074074074075,72.96296296296296
25,81.01851851851852,75.64814814814815,81.94444444444444,75.83333333333333,79.35185185185185,71.01851851851852
26,81.85185185185185,76.29629629629629,81.57407407407408,76.48148148148148,80.0925925925926,72.31481481481481
27,82.68518518518519,76.57407407407408,82.31481481481481,76.48148148148148,80.18518518518519,72.96296296296296
28,83.98148148148148,76.48148148148148,83.33333333333333,76.85185185185185,79.25925925925925,73.33333333333333
29,82.77777777777777,76.48148148148148,82.31481481481481,77.03703703703704,81.38888888888889,73.33333333333333
